timestamp,q_w,q_x,q_y,q_z
1753485321777415,0.9564819,-0.23769625,0.047334976,0.162488
1753485321791086,0.9564822,-0.23769757,0.04733525,0.16248412
1753485321797340,0.95648223,-0.2376988,0.04733935,0.1624809
1753485321807339,0.9564838,-0.23769666,0.047339793,0.16247477
1753485321817316,0.9564845,-0.23769319,0.047340788,0.1624756
1753485321827289,0.95648724,-0.23768447,0.047344632,0.16247112
1753485321837212,0.9564873,-0.2376852,0.047348987,0.1624686
1753485321847168,0.9564881,-0.23768638,0.04735029,0.16246156
1753485321857145,0.9564887,-0.2376915,0.047348674,0.16245121
1753485321867093,0.95649064,-0.23768997,0.047342513,0.16244355
1753485321875848,0.95649016,-0.23769231,0.047343604,0.16244262
1753485321887032,0.9564901,-0.2376911,0.047342196,0.1624454
1753485321895746,0.95648926,-0.23769312,0.0473436,0.162447
1753485321906967,0.95648736,-0.23770127,0.047342155,0.16244687
1753485321916954,0.9564876,-0.2377039,0.047337808,0.16244222
1753485321926930,0.95648783,-0.2377055,0.047334176,0.16243984
1753485321936883,0.95648813,-0.2377117,0.047328923,0.16243012
1753485321946848,0.9564893,-0.23771106,0.047321692,0.16242644
1753485321960537,0.9564885,-0.2377119,0.04732555,0.16242918
1753485321966799,0.9564876,-0.23771363,0.047334805,0.16242923
1753485321980479,0.9564892,-0.23771147,0.047339015,0.16242172
1753485321986753,0.95649153,-0.23770656,0.047340747,0.16241476
1753485321996740,0.95649195,-0.23770972,0.0473362,0.16240853
1753485322006659,0.9564944,-0.2377063,0.047329765,0.16240112
1753485322016678,0.95649683,-0.23770043,0.047323838,0.16239755
1753485322026604,0.95649624,-0.23769939,0.047332,0.1623998
1753485322036552,0.9564961,-0.23769641,0.04733731,0.16240358
1753485322045272,0.95649517,-0.23769784,0.047341608,0.16240509
1753485322056491,0.9564971,-0.23769403,0.047349278,0.16239733
1753485322066508,0.9564971,-0.23769502,0.04735107,0.16239548
1753485322071497,0.9564991,-0.23769245,0.04734784,0.16238858
1753485322086430,0.9565019,-0.23769663,0.047343895,0.16236752
1753485322096407,0.9565027,-0.23769449,0.04734493,0.16236548
1753485322106432,0.9565016,-0.23769669,0.04735085,0.16236658
1753485322116322,0.9565023,-0.23769288,0.047358144,0.16236587
1753485322126326,0.95650315,-0.23768866,0.047362905,0.16236626
1753485322136255,0.9565021,-0.23769277,0.04736199,0.16236626
1753485322149952,0.9565025,-0.23769589,0.04736185,0.1623596
1753485322151283,0.95650315,-0.23769605,0.047361586,0.1623554
1753485322169915,0.9565017,-0.23771425,0.04735111,0.16234013
1753485322176129,0.9565007,-0.23772576,0.04734044,0.1623323
1753485322186207,0.95650023,-0.2377273,0.047340374,0.16233318
1753485322196039,0.95649993,-0.23772596,0.0473442,0.16233534
1753485322206094,0.9565006,-0.23771945,0.047351576,0.16233926
1753485322215970,0.9565022,-0.23771651,0.047352836,0.1623335
1753485322225943,0.956502,-0.2377226,0.047354113,0.1623255
1753485322234685,0.9565021,-0.23772742,0.047352728,0.16231829
1753485322245870,0.9565024,-0.23773627,0.047349524,0.16230474
1753485322254612,0.95650333,-0.23773444,0.04734553,0.16230237
1753485322265817,0.9565056,-0.23772879,0.047340885,0.16229934
1753485322274544,0.95650524,-0.23772919,0.047341898,0.16229999
1753485322285754,0.9565052,-0.2377271,0.047348924,0.16230167
1753485322295744,0.956506,-0.23772363,0.047359582,0.16229837
1753485322305685,0.9565061,-0.23772511,0.047363218,0.1622947
1753485322315710,0.9565068,-0.23772652,0.047364205,0.16228876
1753485322325657,0.95650804,-0.23772779,0.047359176,0.1622806
1753485322335607,0.9565099,-0.2377287,0.047356043,0.1622699
1753485322345596,0.95651037,-0.23772684,0.047358986,0.16226879
1753485322355651,0.95650953,-0.23772529,0.047362816,0.16227435
1753485322365505,0.95651156,-0.23771831,0.047367737,0.16227175
1753485322375583,0.9565136,-0.23771301,0.04737662,0.16226454
1753485322385445,0.9565144,-0.23771124,0.04738516,0.16225989
1753485322395397,0.9565145,-0.23771626,0.047386523,0.16225176
1753485322405393,0.9565159,-0.23771754,0.047375813,0.16224466
1753485322415343,0.95651424,-0.23772985,0.047373373,0.16223693
1753485322425322,0.9565141,-0.23773202,0.04737452,0.16223393
1753485322435271,0.9565144,-0.23773211,0.047379643,0.16223067
1753485322444014,0.95651466,-0.23773043,0.047380544,0.16223158
1753485322455211,0.9565157,-0.23772354,0.047388904,0.16223304
1753485322465198,0.95651686,-0.23772165,0.047392588,0.16222781
1753485322475149,0.9565163,-0.23772754,0.04739109,0.1622226
1753485322485159,0.95651484,-0.23773743,0.04738574,0.16221851
1753485322495089,0.9565146,-0.23774293,0.047377467,0.16221458
1753485322505073,0.95651484,-0.23774463,0.04737071,0.16221277
